x,y1,y2
-15,5.53070954984442e-50,8.81489205918614e-05
-14.939879759519,1.36033012472528e-49,9.32493826136634e-05
-14.8797595190381,3.33378852099489e-49,9.86226852945708e-05
-14.8196392785571,8.14070552610507e-49,0.000104282053162502
-14.7595190380762,1.98068909679592e-48,0.000110241271793326
-14.6993987975952,4.80176435886367e-48,0.000116514707194875
-14.6392785571142,1.15988690087969e-47,0.000123117325626819
-14.5791583166333,2.79164834709538e-47,0.000130064713853666
-14.5190380761523,6.69477592204733e-47,0.000137373099827328
-14.4589178356713,1.59971142751148e-46,0.000145059373794772
-14.3987975951904,3.80870657887309e-46,0.000153141109825352
-14.3386773547094,9.03532236776471e-46,0.000161636587751392
-14.2785571142285,2.13569905514419e-45,0.000170564815514614
-14.2184368737475,5.02998541827509e-45,0.00017994555190988
-14.1583166332665,1.18038495062249e-44,0.000189799329716626
-14.0981963927856,2.76001135474129e-44,0.00020014747920721
-14.0380761523046,6.43025714940729e-44,0.000211012152020148
-13.9779559118236,1.4927121930793e-43,0.000222416345385025
-13.9178356713427,3.45266217459924e-43,0.00023438392668451
-13.8577154308617,7.95723823433473e-43,0.000246939658337606
-13.7975951903808,1.82726233280552e-42,0.000260109222986871
-13.7374749498998,4.18089932527648e-42,0.000273919248970924
-13.6773547094188,9.53166533428509e-42,0.000288397336062077
-13.6172344689379,2.16520054692013e-41,0.000303572081447439
-13.5571142284569,4.90069571571396e-41,0.000319473105930281
-13.496993987976,1.1052171492568e-40,0.000336131080326869
-13.436873747495,2.48352055832884e-40,0.000353577752032339
-13.376753507014,5.56055538604949e-40,0.000371845971727551
-13.3166332665331,1.24050594417493e-39,0.000390969720197122
-13.2565130260521,2.757463646664e-39,0.000410984135227156
-13.1963927855711,6.10732467986596e-39,0.000431925538549391
-13.1362725450902,1.34779080479263e-38,0.000453831462796705
-13.0761523046092,2.96363173540697e-38,0.000476740678433133
-13.0160320641283,6.49316219609616e-38,0.000500693220619642
-12.9559118236473,1.41748520122609e-37,0.000525730415975125
-12.8957915831663,3.08326663072305e-37,0.000551894909190131
-12.8356713426854,6.68242201452291e-37,0.000579230689448965
-12.7755511022044,1.44306861955869e-36,0.000607783116613924
-12.7154308617234,3.10506240976404e-36,0.000637598947123411
-12.6553106212425,6.65708269307513e-36,0.000668726359553868
-12.5951903807615,1.42209247053602e-35,0.000701214979793419
-12.5350701402806,3.02692729436331e-35,0.000735115905773271
-12.4749498997996,6.41957695282389e-35,0.000770481731700945
-12.4148296593186,1.3565665251063e-34,0.000807366571737497
-12.3547094188377,2.85631466901498e-34,0.00084582608305903
-12.2945891783567,5.99240657156185e-34,0.000885917488240843
-12.2344689378758,1.25264139731826e-33,0.00092769959690078
-12.1743486973948,2.60905068440077e-33,0.000971232826536438
-12.1142284569138,5.41462693015758e-33,0.00101657922248915
-12.0541082164329,1.11965656049523e-32,0.00106380247696589
-11.9939879759519,2.30691390384464e-32,0.00111296794704845
-11.9338677354709,4.73596202295401e-32,0.00116414267161777
-11.87374749499,9.68758002426253e-32,0.00121739538711943
-11.813627254509,1.97447965017144e-31,0.00127279654209499
-11.7535070140281,4.00977762716056e-31,0.00133041831040229
-11.6933867735471,8.11368572606549e-31,0.00139033460304635
